WORD_KOR WORD_ENG WORD_ENG_DESC WORD_KOR_DESC
단자 STLN Short loan 
내입 POAC Payment On account 
증시자금 STMC stock market capital 
증시 STMK stock market 
기재 STMT statement 
 STANDBY STNB standby LC 
규격 STND standard 
오후 PM afternoon 
수익관리 PM profit management 
 PLUS PLUS PLUS 
 STOCK STOCK STOCK 
지번 PLMK place mark 
질권 PLDG pledge 
 STOP STOP STOP 
입고 STOR store 
위치 PLC plce 
 PLAN PLAN PLAN 
 STR STR STRING 
방안 PLAN plan 
접대자 RCMN RECEPTION MAN 
손익계정원장 PLAL profit and loss accounts ledger 
수주 RCOD Receive(accept) an order 
접대비 RCPC RECEPTION EXPENSES 
손익계정 PLAC a profit and loss account 
접대 RCPT RECEPTION 
등록필증 RCRT registration certificate 
모집 RCRT recruitment 
 PIN PIN PERSONAL IDENTIFICATION NUMBER 
사진 PIC picture 
복구 RCVR recovery 
통화자 PHMN phoned man 
 PG PG Payment Gateway 
 RDM RDM ROLL DATE METHOD 
이익잉여금 PFSP a profit surplus fund 
수행 PFRM performance 
편성 ORGN organization 
 ORGINAL ORGINAL ORGINAL 
 ORG ORG ORGANIZATION 
조직 ORG organization 
공관 ORES official residence 
부점명2 BRNM2 branch name 
보통 ORDN ordinary 
선수수익 BRPR before receive profit 
출신 BRTH birth 
채번 GVNO giving a number 
차입후 BRW_AF borrow after 
유통 CIRC circulation 
차입전 BRW_BF BORROW BEFOR 
상업송장 CINV an commercial  invoice 
 CIF CIF COST INSURANCE AND FREIGHT 
부담자 BRDN_MN burden man 
부담인 BRDN_MN burden man 
 BS BS A BALANCE SHEET 
사업별 BSBY by business 
업무별 BSBY business part 
업태 BSCD business conditions 
가지 BR branch 
업무원가후 BPAF  
사업부 BSDP business department 
 BORROW BORROW BORROW 
 BOOK BOOK BOOK 
기업체 BSNC Business Corporation 
신체 BODY the body 
통장 BNKB bankbook 
업무량 BSQT business_quantity 
수혜 BNFT benefit 
수익자명 BNFC_NM beneficiary name 
수익자 BNFC beneficiary 
 BNE BNE BENE CERT 
건폐율 BTLR building-to-land ratio 
은행별 BNBY bank_BY 
벤치마크 BMRK bench mark 
 BM BM BENCHMARK 
신도 BLVR beliver 
맞벌이 BTWR both working 
